关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
1-6-2-25-1438384798,100061,55,26,47.27,88.00,40.73,40.73,176,24,102.0,821,102
7-5-3-22-1678796284,100083,55,2,3.64,10.00,6.36,6.36,20,180,90.0,509,90
7-1-5-16-570610174,100090,55,24,43.64,87.50,43.86,43.86,175,25,81.0,1051,81
2-1-1-22-1555173002,100065,54,7,12.96,89.50,76.54,76.54,179,21,108.0,1352,108
3-8-6-14-1812230451,400015,54,27,50.00,97.00,47.00,47.00,194,6,90.0,855,90
8-7-2-21-999878073,100061,54,7,12.96,95.00,82.04,82.04,190,10,102.0,1044,102
6-3-3-14-842554427,100075,54,23,42.59,44.50,1.91,1.91,89,111,84.0,3413,84
9-1-7-21-737870868,100063,54,29,53.70,81.50,27.80,27.80,163,37,99.0,1426,99
3-6-3-15-1587253847,400012,54,11,20.37,99.00,78.63,78.63,198,2,108.0,1103,108
1-5-4-20-984484874,100066,54,11,20.37,91.50,71.13,71.13,183,17,93.0,2841,93
7-5-6-11-18271368,200012,54,13,24.07,100.00,75.93,75.93,200,0,54.0,144,54
6-4-5-13-1794194961,100087,54,25,46.30,93.00,46.70,46.70,186,14,102.0,2106,102
4-7-7-20-1344330004,100094,54,5,9.26,16.00,6.74,6.74,32,168,99.0,407,99
5-2-1-13-1349749343,100038,54,52,96.30,100.00,3.70,3.70,200,0,54.0,159,54
3-8-1-10-1463703784,100056,54,29,53.70,100.00,46.30,46.30,200,0,54.0,481,54
2-6-1-8-1744217603,100010,54,23,42.59,100.00,57.41,57.41,200,0,54.0,461,54
9-3-7-24-1008046802,100095,54,20,37.04,97.50,60.46,60.46,195,5,90.0,398,90
8-8-9-13-1908278987,100096,54,4,7.41,44.50,37.09,37.09,89,111,96.0,2495,96
3-2-2-24-502538131,100064,54,6,11.11,32.00,20.89,20.89,64,136,126.0,1723,126
7-3-3-12-181726811,200024,54,26,48.15,93.50,45.35,45.35,187,13,72.0,292,72
7-9-6-13-51148626,100087,54,10,18.52,98.50,79.98,79.98,197,3,102.0,2129,102
8-7-1-17-1402852137,100084,54,18,33.33,75.00,41.67,41.67,150,50,102.0,3457,102
3-3-1-20-983724779,100063,54,7,12.96,52.50,39.54,39.54,105,95,99.0,832,99
9-6-3-17-558885293,100069,54,12,22.22,93.00,70.78,70.78,186,14,114.0,2888,114
8-5-6-18-322930779,400017,54,22,40.74,83.00,42.26,42.26,166,34,117.0,650,117
2-6-6-10-451615587,100010,54,9,16.67,100.00,83.33,83.33,200,0,54.0,232,54
4-2-2-16-501414058,100051,54,4,7.41,84.50,77.09,77.09,169,31,105.0,1760,105
7-7-5-12-1849753665,200015,53,14,26.42,100.00,73.58,73.58,200,0,54.0,220,54
1-7-9-18-1694918170,100036,53,27,50.94,98.00,47.06,47.06,196,4,90.0,1066,90
9-7-7-15-91390239,100066,53,8,15.09,59.00,43.91,43.91,118,82,93.0,2267,93
7-3-6-13-500841298,200024,53,35,66.04,91.00,24.96,24.96,182,18,72.0,250,72
7-5-6-11-793271607,100090,53,16,30.19,97.50,67.31,67.31,195,5,81.0,1102,81
3-9-1-12-1130105417,100074,53,36,67.92,100.00,32.08,32.08,200,0,54.0,248,54
3-1-2-14-1609193746,100026,53,11,20.75,100.00,79.25,79.25,200,0,54.0,143,54
8-7-2-10-1799098369,200003,53,20,37.74,98.50,60.76,60.76,197,3,42.0,112,42
8-6-3-18-635734265,100086,53,0,0.00,30.50,30.50,30.50,61,139,117.0,1444,117
6-9-1-23-482484403,400012,52,13,25.00,67.50,42.50,42.50,135,65,108.0,1213,108
5-2-3-14-900790375,100010,52,16,30.77,99.00,68.23,68.23,198,2,54.0,132,54
1-8-6-17-426078034,100075,52,22,42.31,78.50,36.19,36.19,157,43,84.0,3717,84
9-5-2-14-635058091,200015,52,24,46.15,93.50,47.35,47.35,187,13,54.0,249,54
9-7-1-16-1615691172,400014,52,32,61.54,97.50,35.96,35.96,195,5,108.0,4474,108
7-6-1-15-1578991194,100058,52,3,5.77,98.50,92.73,92.73,197,3,84.0,1201,84
3-2-2-20-1877145533,500001,52,3,5.77,100.00,94.23,94.23,200,0,78.0,311,78
5-9-7-12-402054794,100033,52,28,53.85,65.50,11.65,11.65,131,69,60.0,164,60
5-3-6-15-1078595735,100046,52,29,55.77,100.00,44.23,44.23,200,0,57.0,200,57
8-5-1-20-142556188,100063,52,18,34.62,66.50,31.88,31.88,133,67,99.0,943,99
4-8-5-15-1952777035,100066,52,4,7.69,73.00,65.31,65.31,146,54,93.0,1915,93
9-4-2-11-1718428512,100009,52,31,59.62,100.00,40.38,40.38,200,0,42.0,96,42
7-3-4-11-783058347,100090,52,17,32.69,91.50,58.81,58.81,183,17,81.0,1135,81
1-1-7-11-1732359846,100009,52,36,69.23,100.00,30.77,30.77,200,0,42.0,129,42
7-4-3-24-1990649438,100065,52,16,30.77,15.00,-15.77,15.77,30,170,108.0,1039,108
3-6-3-13-1677162644,100034,52,16,30.77,96.00,65.23,65.23,192,8,72.0,284,72
7-6-2-18-333006399,100051,52,14,26.92,98.50,71.58,71.58,197,3,105.0,1594,105
3-8-1-10-522443187,100056,52,45,86.54,100.00,13.46,13.46,200,0,54.0,431,54
8-9-8-13-1897755796,100093,51,7,13.73,42.00,28.27,28.27,84,116,96.0,16662,96
9-2-4-24-491030752,400017,51,16,31.37,99.50,68.13,68.13,199,1,117.0,922,117
1-7-5-14-226202774,100088,51,24,47.06,99.00,51.94,51.94,198,2,72.0,1876,72
8-2-2-13-2019653818,100080,51,29,56.86,67.50,10.64,10.64,135,65,69.0,391,69
1-7-3-17-1039463391,100043,51,30,58.82,98.00,39.18,39.18,196,4,78.0,838,78
9-8-6-14-795548818,100028,51,12,23.53,42.50,18.97,18.97,85,115,54.0,167,54
6-2-1-13-2061417132,100079,51,29,56.86,86.00,29.14,29.14,172,28,75.0,661,75
4-1-1-21-329539358,100066,51,5,9.80,15.00,5.20,5.20,30,170,93.0,2278,93
8-5-6-11-2126172693,100071,51,28,54.90,99.00,44.10,44.10,198,2,72.0,486,72
8-3-3-13-1267610684,100034,51,6,11.76,47.50,35.74,35.74,95,105,72.0,273,72
7-8-6-13-2076214399,100084,51,19,37.25,67.00,29.75,29.75,134,66,102.0,2879,102
6-9-5-12-1669361145,100026,51,13,25.49,97.00,71.51,71.51,194,6,54.0,158,54
5-7-1-17-196685927,100079,51,22,43.14,60.00,16.86,16.86,120,80,75.0,660,75
8-5-2-14-1097127707,100055,51,34,66.67,91.00,24.33,24.33,182,18,84.0,586,84
3-7-2-11-502670228,100010,51,34,66.67,100.00,33.33,33.33,200,0,54.0,200,54
7-4-3-22-467428312,100094,51,18,35.29,80.50,45.21,45.21,161,39,99.0,532,99
9-4-3-11-1744641617,100059,51,14,27.45,50.00,22.55,22.55,100,100,81.0,792,81
3-7-2-21-2109807167,400013,51,6,11.76,56.00,44.24,44.24,112,88,108.0,2943,108
8-2-9-11-650497783,100079,51,27,52.94,100.00,47.06,47.06,200,0,75.0,698,75
1-9-5-24-612064685,100084,51,9,17.65,26.50,8.85,8.85,53,147,102.0,4022,102
5-8-6-11-2133722576,100014,51,30,58.82,99.00,40.18,40.18,198,2,54.0,116,54
6-5-2-21-722083188,100086,51,9,17.65,54.50,36.85,36.85,109,91,117.0,2867,117
7-7-5-23-244305076,100070,51,10,19.61,76.00,56.39,56.39,152,48,117.0,1314,117
9-8-1-17-1306601695,100075,50,35,70.00,100.00,30.00,30.00,200,0,84.0,5278,84
6-7-1-14-1153541593,100060,50,16,32.00,87.50,55.50,55.50,175,25,84.0,858,84
9-7-6-10-2052802561,100023,50,26,52.00,99.50,47.50,47.50,199,1,54.0,215,54
8-5-5-15-297271659,100083,50,3,6.00,56.00,50.00,50.00,112,88,90.0,660,90
6-1-7-21-840771570,400014,50,12,24.00,50.00,26.00,26.00,100,100,108.0,3122,108
8-2-5-17-1614434137,100034,50,20,40.00,32.00,-8.00,8.00,64,136,72.0,167,72
9-2-5-24-1950128113,100064,50,4,8.00,54.00,46.00,46.00,108,92,126.0,1738,126
5-9-9-17-267511108,100092,50,39,78.00,97.00,19.00,19.00,194,6,75.0,206,75
1-4-1-12-512498699,100072,50,40,80.00,99.50,19.50,19.50,199,1,63.0,642,63
1-1-2-25-1073460026,100094,50,14,28.00,96.50,68.50,68.50,193,7,99.0,694,99
4-1-2-24-1366678507,100051,50,15,30.00,70.50,40.50,40.50,141,59,105.0,1438,105
5-2-2-14-433198430,100076,50,9,18.00,98.00,80.00,80.00,196,4,90.0,697,90
6-1-3-22-2042625388,100086,50,7,14.00,75.50,61.50,61.50,151,49,117.0,1394,117
9-1-5-15-1719561082,200007,50,22,44.00,100.00,56.00,56.00,200,0,57.0,217,57
3-1-3-21-471012660,100089,50,12,24.00,72.50,48.50,48.50,145,55,114.0,1667,114
4-4-1-24-1472652056,100061,50,13,26.00,100.00,74.00,74.00,200,0,102.0,996,102
7-9-8-21-477758350,400011,50,30,60.00,99.50,39.50,39.50,199,1,90.0,434,90
1-7-5-19-1663638642,100058,50,32,64.00,97.00,33.00,33.00,194,6,84.0,1416,84
8-3-7-17-1299869705,100050,50,27,54.00,87.00,33.00,33.00,174,26,78.0,899,78
1-2-2-22-1765490901,100067,50,11,22.00,90.50,68.50,68.50,181,19,90.0,1714,90
7-6-2-16-926545235,100051,50,2,4.00,82.50,78.50,78.50,165,35,105.0,1431,105
2-6-4-15-1661721967,100004,50,27,54.00,98.00,44.00,44.00,196,4,60.0,244,60
6-5-1-10-253120028,100008,50,30,60.00,100.00,40.00,40.00,200,0,42.0,118,42
6-4-6-15-916044473,100031,50,15,30.00,100.00,70.00,70.00,200,0,60.0,131,60
9-9-7-14-279333246,100076,50,21,42.00,96.00,54.00,54.00,192,8,90.0,638,90
6-5-5-17-863969012,100071,49,6,12.24,43.00,30.76,30.76,86,114,72.0,273,72
1-4-2-15-706829815,100047,49,27,55.10,83.00,27.90,27.90,166,34,72.0,1497,72
7-4-6-16-804180642,100058,49,14,28.57,55.50,26.93,26.93,111,89,84.0,508,84
7-4-3-24-1086837219,100065,49,10,20.41,24.50,4.09,4.09,49,151,108.0,1049,108
3-2-1-21-835275895,100070,49,2,4.08,16.50,12.42,12.42,33,167,117.0,1612,117
7-9-7-21-440212077,100094,49,16,32.65,93.00,60.35,60.35,186,14,99.0,582,99
8-7-1-13-227959668,100033,49,28,57.14,97.00,39.86,39.86,194,6,60.0,271,60
3-5-8-24-186018484,400013,49,17,34.69,99.50,64.81,64.81,199,1,108.0,6472,108
5-3-8-11-448740332,100034,49,7,14.29,87.00,72.71,72.71,174,26,72.0,346,72
7-7-6-17-1790189908,200024,49,10,20.41,51.00,30.59,30.59,102,98,72.0,163,72
2-2-1-12-1797182768,100059,49,26,53.06,97.50,44.44,44.44,195,5,81.0,754,81
5-2-8-18-1291070703,100097,49,15,30.61,92.00,61.39,61.39,184,16,84.0,475,84
4-3-1-11-1521140145,100058,49,8,16.33,100.00,83.67,83.67,200,0,84.0,1384,84
1-4-2-24-1276029532,100067,49,2,4.08,1.00,-3.08,3.08,2,198,90.0,2309,90
7-2-3-21-2138300448,100070,49,2,4.08,31.00,26.92,26.92,62,138,117.0,2239,117
5-7-5-24-2079209193,100089,49,5,10.20,39.00,28.80,28.80,78,122,114.0,908,114
3-6-1-11-1438901659,200003,49,18,36.73,99.00,62.27,62.27,198,2,42.0,85,42
8-7-8-14-1290589651,100020,49,12,24.49,32.50,8.01,8.01,65,135,66.0,141,66
7-7-7-16-1378250983,100090,49,3,6.12,23.00,16.88,16.88,46,154,81.0,551,81
8-2-1-20-858552635,100066,49,6,12.24,54.50,42.26,42.26,109,91,93.0,1100,93
4-2-3-17-1768331550,100069,49,4,8.16,4.50,-3.66,3.66,9,191,114.0,1359,114
5-9-6-14-1190575109,100023,49,26,53.06,100.00,46.94,46.94,200,0,54.0,126,54
3-3-1-17-2052092492,100092,49,15,30.61,76.00,45.39,45.39,152,48,75.0,203,75
9-2-4-16-789478034,100041,49,17,34.69,87.50,52.81,52.81,175,25,72.0,349,72
7-3-3-12-1615344384,100028,49,13,26.53,27.50,0.97,0.97,55,145,54.0,213,54
6-2-2-18-1673336504,100043,49,17,34.69,80.00,45.31,45.31,160,40,78.0,390,78
6-4-1-14-1301522357,100078,49,18,36.73,91.50,54.77,54.77,183,17,81.0,1302,81
8-2-4-9-327632338,200010,49,44,89.80,100.00,10.20,10.20,200,0,57.0,323,57
9-2-8-13-929341930,200013,49,25,51.02,100.00,48.98,48.98,200,0,63.0,306,63
9-3-7-11-1659848677,200004,49,4,8.16,91.00,82.84,82.84,182,18,48.0,153,48
6-8-1-18-1776386068,100055,49,19,38.78,93.50,54.72,54.72,187,13,84.0,657,84
6-5-1-20-1960435117,100086,48,14,29.17,88.50,59.33,59.33,177,23,117.0,1950,117
1-1-1-20-941132065,100069,48,9,18.75,87.00,68.25,68.25,174,26,114.0,1583,114
4-4-4-13-1816371419,200010,48,31,64.58,100.00,35.42,35.42,200,0,57.0,279,57
9-6-8-9-1757761032,100081,48,25,52.08,98.50,46.42,46.42,197,3,72.0,1574,72
1-1-1-18-514859016,100070,48,25,52.08,95.00,42.92,42.92,190,10,117.0,1443,117
5-8-9-12-1194735763,100038,48,29,60.42,100.00,39.58,39.58,200,0,54.0,114,54
3-2-5-10-1251879022,100047,48,13,27.08,67.50,40.42,40.42,135,65,72.0,1423,72
3-5-8-24-594712868,400013,48,11,22.92,72.00,49.08,49.08,144,56,108.0,4752,108
7-2-4-22-550346849,400017,48,7,14.58,98.50,83.92,83.92,197,3,117.0,1164,117
5-4-1-23-1097359875,400012,48,19,39.58,99.50,59.92,59.92,199,1,108.0,1165,108
8-4-2-22-1068466910,100064,48,1,2.08,73.50,71.42,71.42,147,53,126.0,1956,126
8-8-7-18-303925069,100065,48,5,10.42,68.00,57.58,57.58,136,64,108.0,990,108
4-2-2-19-1958644992,100064,48,5,10.42,80.00,69.58,69.58,160,40,126.0,3287,126
6-9-3-15-1870534123,100013,48,10,20.83,100.00,79.17,79.17,200,0,72.0,265,72
8-8-4-18-1456468593,100063,48,19,39.58,95.50,55.92,55.92,191,9,99.0,1083,99
8-9-1-14-1489652375,100004,48,29,60.42,100.00,39.58,39.58,200,0,60.0,220,60
7-6-6-18-371643148,100069,48,12,25.00,54.00,29.00,29.00,108,92,114.0,1070,114
5-4-3-15-740697988,200010,48,17,35.42,98.00,62.58,62.58,196,4,57.0,172,57
8-8-5-18-893852440,100092,47,23,48.94,96.00,47.06,47.06,192,8,75.0,177,75
7-6-2-18-1687918530,100066,47,8,17.02,28.50,11.48,11.48,57,143,93.0,1353,93
2-8-3-12-1321326308,100074,47,25,53.19,100.00,46.81,46.81,200,0,54.0,210,54
7-9-6-16-996441935,200053,47,22,46.81,87.00,40.19,40.19,174,26,72.0,240,72
5-6-3-14-516617829,100041,47,7,14.89,40.50,25.61,25.61,81,119,72.0,287,72
8-8-1-14-752168202,200012,47,17,36.17,67.50,31.33,31.33,135,65,54.0,151,54
6-4-4-24-1038575677,100061,47,11,23.40,26.00,2.60,2.60,52,148,102.0,616,102
4-1-5-12-1329319934,100040,47,6,12.77,87.50,74.73,74.73,175,25,48.0,397,48
7-6-4-13-569203804,100079,47,22,46.81,90.00,43.19,43.19,180,20,75.0,554,75
8-5-9-16-522563735,100013,47,8,17.02,44.50,27.48,27.48,89,111,72.0,202,72
1-7-9-19-1748034012,100058,47,27,57.45,99.00,41.55,41.55,198,2,84.0,1131,84
8-1-5-20-1692658084,100084,46,10,21.74,84.00,62.26,62.26,168,32,102.0,3470,102
8-5-8-15-1897609658,100094,46,6,13.04,73.00,59.96,59.96,146,54,99.0,587,99
7-1-4-25-1182245449,100086,46,6,13.04,10.50,-2.54,2.54,21,179,117.0,1928,117
9-7-3-15-476958867,100057,46,32,69.57,100.00,30.43,30.43,200,0,72.0,733,72
9-8-9-15-1151273963,100065,46,9,19.57,88.00,68.43,68.43,176,24,108.0,1730,108
2-1-1-17-653189170,100086,46,13,28.26,81.50,53.24,53.24,163,37,117.0,2421,117
7-2-4-22-648256632,400017,46,7,15.22,58.50,43.28,43.28,117,83,117.0,1143,117
4-3-5-10-2112999450,100090,46,7,15.22,71.50,56.28,56.28,143,57,81.0,1066,81
7-8-4-13-698314584,100041,46,30,65.22,99.00,33.78,33.78,198,2,72.0,297,72
8-2-4-17-804518005,100083,46,17,36.96,99.50,62.54,62.54,199,1,90.0,792,90
7-3-4-16-582596005,100063,46,3,6.52,86.50,79.98,79.98,173,27,99.0,1149,99
8-4-6-14-316758293,200053,46,11,23.91,48.50,24.59,24.59,97,103,72.0,218,72
1-7-7-18-1596748723,100061,46,30,65.22,99.50,34.28,34.28,199,1,102.0,1692,102
9-2-6-18-581832039,100096,46,12,26.09,73.00,46.91,46.91,146,54,96.0,1893,96
2-5-5-10-25274582,100002,46,16,34.78,100.00,65.22,65.22,200,0,39.0,83,39
3-9-8-16-1984730065,100050,46,21,45.65,80.00,34.35,34.35,160,40,78.0,1153,78
8-6-8-16-610133453,100076,46,13,28.26,51.00,22.74,22.74,102,98,90.0,521,90
8-9-3-9-2053470073,100072,46,34,73.91,100.00,26.09,26.09,200,0,63.0,481,63
1-8-5-20-1009741351,400014,46,21,45.65,99.50,53.85,53.85,199,1,108.0,5462,108
8-2-4-11-1536943368,100040,46,22,47.83,100.00,52.17,52.17,200,0,48.0,212,48
7-9-8-17-1940718550,100086,46,1,2.17,6.00,3.83,3.83,12,188,117.0,2000,117
7-6-2-12-1020953671,100085,46,23,50.00,99.00,49.00,49.00,198,2,84.0,1048,84
1-8-3-19-962832697,100093,46,8,17.39,43.50,26.11,26.11,87,113,96.0,10685,96
2-8-2-14-352152015,100030,46,22,47.83,100.00,52.17,52.17,200,0,66.0,263,66
5-3-5-14-1833480305,100026,46,13,28.26,72.00,43.74,43.74,144,56,54.0,154,54
2-3-3-13-225143261,100046,46,32,69.57,89.00,19.43,19.43,178,22,57.0,157,57
8-9-1-19-159468492,100065,46,15,32.61,82.50,49.89,49.89,165,35,108.0,2079,108
1-8-8-22-425008988,100061,45,4,8.89,80.00,71.11,71.11,160,40,102.0,876,102
9-8-6-17-947275195,400011,45,7,15.56,98.00,82.44,82.44,196,4,90.0,468,90
7-8-4-10-221664681,100071,45,36,80.00,100.00,20.00,20.00,200,0,72.0,715,72
3-2-2-20-1588953140,500001,45,5,11.11,100.00,88.89,88.89,200,0,78.0,315,78
5-7-7-11-984809771,200053,45,31,68.89,99.00,30.11,30.11,198,2,72.0,432,72
5-9-6-16-1789409385,100031,45,24,53.33,85.50,32.17,32.17,171,29,60.0,128,60
7-2-3-11-649537781,100007,45,20,44.44,100.00,55.56,55.56,200,0,69.0,394,69
3-4-7-17-632810406,100076,45,2,4.44,6.00,1.56,1.56,12,188,90.0,459,90
5-8-8-10-402477798,100037,45,23,51.11,98.00,46.89,46.89,196,4,66.0,573,66
7-7-8-15-1313887087,100051,45,9,20.00,89.50,69.50,69.50,179,21,105.0,1271,105
8-5-3-18-1041610712,100092,45,32,71.11,100.00,28.89,28.89,200,0,75.0,178,75
3-8-9-19-243890054,100013,45,13,28.89,60.50,31.61,31.61,121,79,72.0,200,72
9-4-1-13-413984212,200015,45,19,42.22,100.00,57.78,57.78,200,0,54.0,272,54
5-4-5-14-1065818559,100096,45,8,17.78,95.00,77.22,77.22,190,10,96.0,1887,96
5-1-2-16-218457456,100036,45,24,53.33,91.50,38.17,38.17,183,17,90.0,711,90
7-2-4-22-195614687,400017,45,18,40.00,55.00,15.00,15.00,110,90,117.0,1071,117
5-6-4-13-315874535,100087,45,13,28.89,92.50,63.61,63.61,185,15,102.0,1816,102
3-1-4-23-817495364,400011,45,14,31.11,98.50,67.39,67.39,197,3,90.0,590,90
5-3-5-25-411542948,100052,45,0,0.00,4.00,4.00,4.00,8,192,120.0,373,120
9-1-8-16-1767960387,100043,45,25,55.56,93.50,37.94,37.94,187,13,78.0,775,78
9-5-5-17-3449703,100078,45,11,24.44,42.00,17.56,17.56,84,116,81.0,679,81
6-7-8-11-1480999523,100007,45,12,26.67,97.50,70.83,70.83,195,5,69.0,386,69
9-3-7-16-145983312,100083,45,12,26.67,85.00,58.33,58.33,170,30,90.0,705,90
4-5-3-21-1899256614,100052,45,2,4.44,69.00,64.56,64.56,138,62,120.0,623,120
8-6-1-20-1979754991,100097,45,30,66.67,100.00,33.33,33.33,200,0,84.0,382,84
9-3-5-16-1738260385,100051,45,12,26.67,65.50,38.83,38.83,131,69,105.0,1381,105
2-8-3-23-326714105,100094,45,7,15.56,86.50,70.94,70.94,173,27,99.0,507,99
2-3-1-12-1342260626,100041,45,5,11.11,96.50,85.39,85.39,193,7,72.0,379,72
8-3-7-10-427548625,100030,44,20,45.45,100.00,54.55,54.55,200,0,66.0,317,66
1-8-8-22-519892406,100075,44,14,31.82,54.00,22.18,22.18,108,92,84.0,3576,84
1-2-1-13-973835477,100088,44,23,52.27,99.50,47.23,47.23,199,1,72.0,1881,72
3-9-4-16-1364071442,100036,44,8,18.18,98.00,79.82,79.82,196,4,90.0,794,90
9-9-5-17-106206683,100076,44,14,31.82,42.50,10.68,10.68,85,115,90.0,623,90
7-1-3-13-1519869191,100066,44,14,31.82,92.50,60.68,60.68,185,15,93.0,3089,93
3-2-9-22-1683493284,100097,44,8,18.18,95.00,76.82,76.82,190,10,84.0,366,84
7-5-4-20-482633019,100070,44,5,11.36,41.00,29.64,29.64,82,118,117.0,1437,117
9-7-6-18-19287491,100089,44,9,20.45,97.00,76.55,76.55,194,6,114.0,1338,114
8-6-3-10-1139217986,200003,44,19,43.18,100.00,56.82,56.82,200,0,42.0,92,42
8-8-9-12-266732530,100096,44,8,18.18,78.00,59.82,59.82,156,44,96.0,3351,96
6-3-7-10-1399556919,100010,44,5,11.36,100.00,88.64,88.64,200,0,54.0,237,54
2-1-2-24-77865129,100064,44,12,27.27,33.50,6.23,6.23,67,133,126.0,1784,126
3-2-1-16-497779673,100087,44,8,18.18,76.50,58.32,58.32,153,47,102.0,1468,102
7-7-6-11-1903340343,100047,44,19,43.18,84.00,40.82,40.82,168,32,72.0,1234,72
9-7-8-24-1464253970,100089,44,7,15.91,29.50,13.59,13.59,59,141,114.0,854,114
1-5-9-14-132460044,100034,44,22,50.00,96.50,46.50,46.50,193,7,72.0,446,72
1-7-6-10-1778513437,100028,44,34,77.27,100.00,22.73,22.73,200,0,54.0,547,54
5-2-5-21-1346112418,100097,44,24,54.55,78.50,23.95,23.95,157,43,84.0,350,84
1-3-8-17-623743431,100005,44,26,59.09,93.00,33.91,33.91,186,14,66.0,179,66
7-5-4-19-323923518,100085,44,29,65.91,95.00,29.09,29.09,190,10,84.0,418,84
8-1-8-22-1819917771,100055,44,17,38.64,45.50,6.86,6.86,91,109,84.0,454,84
7-8-6-12-717594132,100066,44,11,25.00,98.00,73.00,73.00,196,4,93.0,2733,93
7-9-6-16-447811628,200053,44,22,50.00,94.00,44.00,44.00,188,12,72.0,222,72
7-4-4-17-954746658,100069,44,11,25.00,44.00,19.00,19.00,88,112,114.0,1626,114
7-3-8-23-1294047800,100052,43,12,27.91,46.00,18.09,18.09,92,108,120.0,582,120
6-3-1-22-42999087,100069,43,7,16.28,91.50,75.22,75.22,183,17,114.0,2161,114
9-5-5-11-831381695,100048,43,30,69.77,99.50,29.73,29.73,199,1,66.0,653,66
7-4-5-20-91094883,100051,43,16,37.21,40.50,3.29,3.29,81,119,105.0,1031,105
5-3-1-15-1140180226,100005,43,6,13.95,34.00,20.05,20.05,68,132,66.0,220,66
8-9-8-9-571086422,200013,43,29,67.44,100.00,32.56,32.56,200,0,63.0,316,63
3-1-1-23-2000007170,100089,43,18,41.86,50.00,8.14,8.14,100,100,114.0,1699,114
1-1-2-19-596974510,100050,43,19,44.19,99.50,55.31,55.31,199,1,78.0,763,78
9-4-6-20-523736463,100064,43,1,2.33,4.50,2.17,2.17,9,191,126.0,2004,126
6-1-8-18-374559711,100067,43,5,11.63,31.50,19.87,19.87,63,137,90.0,1357,90
4-5-7-14-759374248,100048,43,5,11.63,34.00,22.37,22.37,68,132,66.0,516,66
3-4-7-17-1564881714,100078,43,2,4.65,7.50,2.85,2.85,15,185,81.0,771,81
3-8-8-10-2011418724,200004,43,19,44.19,70.00,25.81,25.81,140,60,48.0,182,48
4-7-3-21-1472456499,100060,43,9,20.93,61.50,40.57,40.57,123,77,84.0,499,84
7-3-7-13-1582417773,200012,43,13,30.23,98.00,67.77,67.77,196,4,54.0,207,54
6-7-6-13-886754627,100094,43,14,32.56,84.00,51.44,51.44,168,32,99.0,796,99
3-9-9-16-1653119963,100013,43,19,44.19,91.00,46.81,46.81,182,18,72.0,362,72
7-2-4-22-1835879631,400017,43,19,44.19,96.50,52.31,52.31,193,7,117.0,1145,117
8-9-8-13-1517492164,100081,43,11,25.58,91.00,65.42,65.42,182,18,72.0,814,72
2-2-7-13-1124394731,100056,42,30,71.43,100.00,28.57,28.57,200,0,54.0,545,54
4-2-1-24-1605797979,100069,42,4,9.52,47.00,37.48,37.48,94,106,114.0,2183,114
8-6-2-15-1789932792,100066,42,10,23.81,94.00,70.19,70.19,188,12,93.0,2271,93
4-1-8-19-1866622107,100078,42,33,78.57,100.00,21.43,21.43,200,0,81.0,1303,81
7-2-4-22-1043102161,400017,42,16,38.10,76.00,37.90,37.90,152,48,117.0,926,117
1-7-5-20-2002308593,100085,42,9,21.43,24.50,3.07,3.07,49,151,84.0,570,84
7-3-1-18-1397428994,100007,42,34,80.95,99.50,18.55,18.55,199,1,69.0,259,69
1-7-3-18-438727403,100067,42,14,33.33,100.00,66.67,66.67,200,0,90.0,3067,90
8-3-9-11-1948587022,200003,42,26,61.90,100.00,38.10,38.10,200,0,42.0,92,42
1-6-2-19-872142448,100075,42,19,45.24,91.50,46.26,46.26,183,17,84.0,2447,84
5-8-2-15-128612901,200007,42,9,21.43,99.00,77.57,77.57,198,2,57.0,146,57
8-9-4-7-920910832,100040,42,19,45.24,98.00,52.76,52.76,196,4,48.0,378,48
9-3-9-10-1599476870,100023,42,23,54.76,95.50,40.74,40.74,191,9,54.0,297,54
9-4-2-10-1304913923,100088,42,28,66.67,81.50,14.83,14.83,163,37,72.0,1864,72
1-9-8-21-1831009499,100051,42,6,14.29,87.50,73.21,73.21,175,25,105.0,1571,105
7-6-1-18-1662327081,100084,42,19,45.24,88.50,43.26,43.26,177,23,102.0,3913,102
1-7-4-18-795191180,100067,42,16,38.10,99.50,61.40,61.40,199,1,90.0,2438,90
7-1-3-20-1108920896,100095,42,20,47.62,98.50,50.88,50.88,197,3,90.0,746,90
9-9-5-8-818929959,200012,42,16,38.10,100.00,61.90,61.90,200,0,54.0,218,54
1-4-2-16-1715498761,100067,42,9,21.43,90.00,68.57,68.57,180,20,90.0,3111,90
9-7-6-15-907942447,100036,42,16,38.10,99.50,61.40,61.40,199,1,90.0,627,90
2-3-9-14-445465265,100010,42,4,9.52,53.50,43.98,43.98,107,93,54.0,151,54
1-3-2-15-2041196063,100059,42,20,47.62,69.50,21.88,21.88,139,61,81.0,1007,81
3-1-7-14-1025492745,100074,42,24,57.14,98.00,40.86,40.86,196,4,54.0,163,54
5-3-1-16-2136860269,100076,41,15,36.59,94.50,57.91,57.91,189,11,90.0,731,90
3-2-2-22-645215549,100095,41,18,43.90,50.50,6.60,6.60,101,99,90.0,301,90
6-6-1-13-1356601765,200024,41,21,51.22,95.50,44.28,44.28,191,9,72.0,283,72
9-2-2-10-2137116918,100037,41,19,46.34,96.50,50.16,50.16,193,7,66.0,468,66
9-9-4-12-609770523,200004,41,6,14.63,100.00,85.37,85.37,200,0,48.0,114,48
